"","Num. of hosts sampled","Amalaraeus penicilliger","Amphipsylla anceps","Amphipsylla dumalis","Amphipsylla primaris","Amphipsylla rossica","Amphipsylla schelkovnikovi","Callopsylla caspia","Ceratophyllus sciurorum","Citellophilus ullus","Ctenophthalmus arvalis","Ctenophthalmus assimilis","Ctenophthalmus dilatatus","Frontopsylla elata","Frontopsylla elatoides","Frontopsylla ornata","Hystrichopsylla talpae","Leptopsylla nana","Leptopsylla sicistae","Megabothris rectangulatus","Mesopsylla eucta","Mesopsylla hebes","Mesopsylla lenis","Neopsylla democratica","Neopsylla mana","Neopsylla setosa","Nosopsyllus consimilis","Oropsylla ilovaiskii","Oropsylla silantiewi","Paraneopsylla ioffi","Pectinoctenus lauta","Pectinoctenus nemorosa","Rhadinopsylla ioffi"
"Allactaga elater",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0
"Allactaga major",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0
"Allocricetulus eversmanni",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola argentatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola strelzowi",20,2,0,0,43,0,0,7,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0
"Apodemus agrarius",14,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",60,2,5,0,0,2,0,0,0,0,0,9,0,26,0,13,0,0,2,2,0,0,0,0,16,0,0,0,0,2,0,57,0
"Arvicola terrestris",11,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys rufocanus",4,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",36,0,36,0,6,0,58,0,0,0,6,5,0,20,3,0,2,11,0,0,0,0,0,12,16,0,3,0,0,0,5,0,0
"Cricetus cricetus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Dryomys nitedula",10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius talpinus",19,0,0,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmota baibacina",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
"Microtus arvalis",10,0,0,0,0,4,0,0,0,78,0,7,0,6,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0
"Microtus gregalis",3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Microtus oeconomus",5,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0
"Myospalax myospalax",20,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11
"Sicista subtilis",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista tianshanica",19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus erythrogenys",50,0,0,0,0,0,0,0,0,229,15,0,0,0,3,0,0,0,0,0,0,0,0,34,0,2,0,3,0,0,0,0,0
